raw_content,clean_content
Why still wont publish who they are?,still wont publish
"..umbelievable evil these kids are capable of,  ..where lies the fault,  ..upbringing  ? ..media  ? ..the food we ate  ? ..",umbelievable evil kid capable lie fault upbringing medium food ate
A lame.duck PMX,lameduck pmx
Kdn n bukit aman saja boleh selamat kan anak kita? Kenapa ipk n kkm tak ambil tindakan?,kdn n bukit aman saja boleh selamat kan anak kita kenapa ipk n kkm tak ambil tindakan
"Remember the senior Chinese Malaysian Customs officer found dead, with his NECK, HANDS AND LEGS IN ZIP TIES, in his office? Was there even an investigation, since a senior police, unbelievably, immediately ruled out foul play!!! Was a post mortem conducted?",remember senior chinese malaysian custom officer found dead neck hand leg zip tie office even investigation since senior police unbelievably immediately ruled foul play post mortem conducted
"All the  CONCERNED PARENTS TOO MUST BE VERY SEVERLY  CHARGED, MADE HEVILY DAMAGES RESPONSIBLE TOO.

ALL BANGSA PENCURI ANAK HARAMS.
CALLING THEMSELVES HALAL & ISLAMIC .",concerned parent must severly charged made hevily damage responsible bangsa pencuri anak harams calling halal islamic
The commemtur looks like crab claws hugging her waist...,commemtur look like crab claw hugging waist
Please STOP YOUR SICKENING AND DISTRACTING HAND MOTIONS...,please stop sickening distracting hand motion
"That super senior man is way past his shelf life, go home & enjoy your sunset days. He should be thankful that he gets up the next day, don't create any 
more problems.",super senior man way past shelf life go home enjoy sunset day thankful get next day dont create problem
Akmal is a very Dangerous man in our country,akmal dangerous man country
Another leader is in turmoil. Malaysia is always not peaceful nation . Within 4 years the government will change.,another leader turmoil malaysia always not peaceful nation within year government change
"This is what the public wants. Why is it so difficult to come to this decision?? People only know there is no smoke without fire. Who caused the death? Bullying did take place, that??s an iron clad fact. Just haul up the bullies. They are not professionals, just young individuals who are not capable of manipulating the investigators. An easy case to crack, so to speak. The authorities should have handled it swiftly and openly so as to avoid the public??s ire.",public want difficult come decision people know no smoke without fire caused death bullying take place thats iron clad fact haul bully not professional young individual not capable manipulating investigator easy case crack speak authority handled swiftly openly avoid public ire
"R U challenging the YDPA pardon & questioning his integrity on PM Anwar Ibrahim .
Don't challenge the principle of YDPA in his pardon on his behalf for the PM - as its a TREASON to do so as esteemed head of the country .",r u challenging ydpa pardon questioning integrity pm anwar ibrahim dont challenge principle ydpa pardon behalf pm treason esteemed head country
"Hi!  Aprec look into yr curriculum of KAFA subjects !
Was'salam",hi aprec look yr curriculum kafa subject wassalam
"PMX should know what bullying is as he was bullied when in jail, resulting with black eyes.????",pmx know bullying bullied jail resulting black eye
